"from"	"to"	"nb_strain_with_edge"	"similarity"
"Pentose and glucuronate interconversions"	"Galactose metabolism"	3	0.242727272727273
"Pentose phosphate pathway"	"Galactose metabolism"	3	0.235238254846098
"Phosphotransferase system (PTS)"	"Galactose metabolism"	5	0.279348759323731
"Starch and sucrose metabolism"	"Galactose metabolism"	5	0.342046911554705
"Glyoxylate and dicarboxylate metabolism"	"Glycolysis / Gluconeogenesis"	1	0.2
"Microbial metabolism in diverse environments"	"Glycolysis / Gluconeogenesis"	4	0.235869476933073
"Pentose and glucuronate interconversions"	"Glycolysis / Gluconeogenesis"	4	0.264806547619048
"Pentose phosphate pathway"	"Glycolysis / Gluconeogenesis"	1	0.236842105263158
"Propanoate metabolism"	"Glycolysis / Gluconeogenesis"	2	0.412807881773399
"Pyruvate metabolism"	"Glycolysis / Gluconeogenesis"	2	0.276113671274962
"Starch and sucrose metabolism"	"Glycolysis / Gluconeogenesis"	3	0.28601209089014
"Valine, leucine and isoleucine degradation"	"Glycolysis / Gluconeogenesis"	1	0.272727272727273
"Lysine degradation"	"Glyoxylate and dicarboxylate metabolism"	1	0.333333333333333
"Propanoate metabolism"	"Glyoxylate and dicarboxylate metabolism"	1	0.4
"Pyruvate metabolism"	"Glyoxylate and dicarboxylate metabolism"	1	0.28125
"Valine, leucine and isoleucine degradation"	"Glyoxylate and dicarboxylate metabolism"	1	0.428571428571429
"Propanoate metabolism"	"Lysine degradation"	1	0.45
"Pyruvate metabolism"	"Lysine degradation"	1	0.25
"Synthesis and degradation of ketone bodies"	"Lysine degradation"	1	0.363636363636364
"Valine, leucine and isoleucine degradation"	"Lysine degradation"	1	0.6
"Microbial metabolism in diverse environments"	"Metabolic pathways"	5	0.39045384592669
"Purine metabolism"	"Metabolic pathways"	2	0.210093339661446
"Pentose and glucuronate interconversions"	"Microbial metabolism in diverse environments"	1	0.224489795918367
"Pentose phosphate pathway"	"Microbial metabolism in diverse environments"	4	0.307432165437302
"Propanoate metabolism"	"Microbial metabolism in diverse environments"	2	0.35479797979798
"Pyruvate metabolism"	"Microbial metabolism in diverse environments"	3	0.284868078781122
"Valine, leucine and isoleucine degradation"	"Microbial metabolism in diverse environments"	1	0.208333333333333
"Pentose and glucuronate interconversions"	"Other glycan degradation"	5	0.26469507101086
"Pentose phosphate pathway"	"Pentose and glucuronate interconversions"	4	0.2312743707905
"Propanoate metabolism"	"Pentose and glucuronate interconversions"	1	0.206896551724138
"Propanoate metabolism"	"Pentose phosphate pathway"	1	0.2
"Starch and sucrose metabolism"	"Phosphotransferase system (PTS)"	5	0.261804103755323
"Pyruvate metabolism"	"Propanoate metabolism"	2	0.575268817204301
"Synthesis and degradation of ketone bodies"	"Propanoate metabolism"	1	0.3
"Valine, leucine and isoleucine degradation"	"Propanoate metabolism"	1	0.75
"Pyrimidine metabolism"	"Purine metabolism"	2	0.288537549407115
"Valine, leucine and isoleucine degradation"	"Pyruvate metabolism"	1	0.413793103448276
"Valine, leucine and isoleucine degradation"	"Synthesis and degradation of ketone bodies"	1	0.4
