"entity_id"	"core_entity_id"	"core_consensus_annotation"
"EW021_RS00595"	"g011796"	"competence protein CglA"
"EW021_RS00600"	"g011567"	"type II secretion system F family protein"
"EW021_RS00605"	"g007967"	"prepilin-type N-terminal cleavage/methylation domain-containing protein"
"EW021_RS00610"	"g007363"	"competence protein"
"EW021_RS00615"	"g003862"	"competence protein ComG"
"EW021_RS00620"	"g003292"	"competence protein ComG"
"EW021_RS00625"	"g007968"	"hypothetical protein"
"EW021_RS00630"	"g011710"	"class I SAM-dependent methyltransferase"
"EW021_RS00635"	"g001921"	"acetate kinase"
"EW021_RS00640"	"g003635"	"hypothetical protein"
"EW021_RS00645"	"g012683"	"pyrroline-5-carboxylate reductase"
"EW021_RS00650"	"g011243"	"glutamyl aminopeptidase"
"EW021_RS00655"	"g009208"	"hypothetical protein"
"EW021_RS00660"	"g008253"	"DUF4651 domain-containing protein"
"EW021_RS00665"	"g008032"	"thioredoxin family protein"
"EW021_RS00670"	"g006388"	"DUF4479 and tRNA-binding domain-containing protein"
"EW021_RS00675"	"g000102_2"	"single-stranded DNA-binding protein"
"EW021_RS00680"	"g006314"	"deoxynucleoside kinase"
"EW021_RS00685"	"g011616"	"tRNA dihydrouridine synthase DusB"
"EW021_RS00690"	"g012149"	"Hsp33 family molecular chaperone HslO"
"EW021_RS00695"	"g010574"	"hypothetical protein"
"EW021_RS00705"	"g000236"	"fibronectin-binding protein SfbI"
"EW021_RS00710"	"g006710"	"signal peptidase I"
"EW021_RS00715"	"g011400"	"FCT-2 pilus major pilin FctA"
"EW021_RS00720"	"g012968"	"FCT-2 pilus polymerization class B sortase SrtC1"
"EW021_RS00725"	"g006289"	"FCT-2 pilus minor pilin FctB"
"EW021_RS00730"	"g010885"	"IS66 family transposase"
"EW021_RS00735"	"g008665"	"hypothetical protein"
"EW021_RS00740"	"g007818"	"IS66 family insertion sequence element accessory protein TnpB"
"EW021_RS00750"	"g005722"	"class C sortase"
"EW021_RS00755"	"g001246"	"hypothetical protein"
"EW021_RS00760"	"g010817"	"short-chain fatty acid transporter"
"EW021_RS00770"	"g000057"	"acetyl-CoA C-acetyltransferase"
"EW021_RS00775"	"g001255"	"CoA transferase subunit A"
"EW021_RS00780"	"g000162"	"CoA transferase subunit B"
"EW021_RS00785"	"g006145"	"transcriptional regulator"
"EW021_RS00790"	"g007709"	"RidA family protein"
"EW021_RS00795"	"g005259"	"PTS fructose transporter subunit IIC"
"EW021_RS00800"	"g008006"	"hypothetical protein"
"EW021_RS00805"	"g010119"	"V-type ATP synthase subunit I"
"EW021_RS00810"	"g007079"	"V-type ATP synthase subunit K"
"EW021_RS00815"	"g006565"	"V-type ATP synthase subunit E"
"EW021_RS00820"	"g011508"	"V-type ATP synthase subunit C"
"EW021_RS00825"	"g008007"	"V-type ATP synthase subunit F"
"EW021_RS00830"	"g010247"	"V-type ATP synthase alpha chain"
"EW021_RS00835"	"g010729"	"V-type ATP synthase subunit B"
"EW021_RS00840"	"g006389"	"V-type ATP synthase subunit D"
"EW021_RS00845"	"g009388"	"toxic anion resistance protein"
"EW021_RS00850"	"g012121"	"hypothetical protein"
"EW021_RS00855"	"g004125"	"adenylosuccinate synthase"
"EW021_RS00860"	"g005195_2"	"BMP family ABC transporter substrate-binding protein"
"EW021_RS00865"	"g002975"	"transcription termination/antitermination protein NusG"
"EW021_RS00870"	"g010877"	"nicotine adenine dinucleotide glycohydrolase"
"EW021_RS00875"	"g001451"	"NAD glycohydrolase inhibitor"
"EW021_RS00880"	"g010303"	"cholesterol-dependent cytolysin streptolysin O"
"EW021_RS00885"	"g001506"	"hypothetical protein"
"EW021_RS00890"	"g000824_1"	"hypothetical protein"
"EW021_RS00895"	"g000824_2"	"hypothetical protein"
"EW021_RS00900"	"g001667"	"hypothetical protein"
"EW021_RS00905"	"g009812"	"PLP-dependent transferase"
"EW021_RS00910"	"g005121"	"leucine--tRNA ligase"
"EW021_RS00915"	"g010697"	"PTS sugar transporter subunit IIC"
"EW021_RS00920"	"g008290"	"PTS sugar transporter subunit IIB"
"EW021_RS00925"	"g003121"	"PTS ascorbate transporter subunit IIA"
"EW021_RS00930"	"g006236"	"3-keto-L-gulonate-6-phosphate decarboxylase UlaD"
"EW021_RS00935"	"g000061"	"L-ribulose-5-phosphate 3-epimerase"
"EW021_RS00940"	"g000015"	"L-ribulose-5-phosphate 4-epimerase"
"EW021_RS00945"	"g001847"	"hypothetical protein"
"EW021_RS00950"	"g010385"	"transcription antiterminator"
"EW021_RS00955"	"g001996"	"L-ascorbate 6-phosphate lactonase"
"EW021_RS00960"	"g009620"	"glycine betaine/L-proline ABC transporter ATP-binding protein"
"EW021_RS00965"	"g010288"	"ABC transporter permease subunit"
"EW021_RS00970"	"g011164"	"DNA polymerase I"
"EW021_RS00975"	"g003229"	"CoA-binding protein"
"EW021_RS00980"	"g007144"	"peroxide-responsive transcriptional repressor PerR"
"EW021_RS00985"	"g003665"	"hypothetical protein"
"EW021_RS00990"	"g010940"	"phosphoadenosine phosphosulfate reductase"
"EW021_RS00995"	"g006846"	"ParB-like nuclease domain-containing protein"
"EW021_RS01000"	"g008829"	"hypothetical protein"
"EW021_RS01015"	"g010991"	"C4-dicarboxylate ABC transporter"
"EW021_RS01020"	"g012151"	"carboxylating nicotinate-nucleotide diphosphorylase"
"EW021_RS01025"	"g014522"	"None"
"EW021_RS01025"	"g014523"	"None"
"EW021_RS01030"	"g012203"	"DUF975 family protein"
"EW021_RS01035"	"g000912"	"tRNA guanosine(34) transglycosylase Tgt"
"EW021_RS01040"	"g003628"	"hypothetical protein"
"EW021_RS01045"	"g002992"	"biotin transporter BioY"
"EW021_RS01050"	"g012633"	"MBL fold metallo-hydrolase"
"EW021_RS01055"	"g006916"	"nucleoside deaminase"
"EW021_RS01060"	"g009494"	"hypothetical protein"
"EW021_RS01070"	"g013009"	"streptococcal pyrogenic exotoxin SpeG"
"EW021_RS01075"	"g004968"	"glucose-6-phosphate isomerase"
"EW021_RS01080"	"g010534"	"hypothetical protein"
"EW021_RS01085"	"g009828"	"ISAs1-like element IS1548 family transposase"
"EW021_RS01090"	"g011905"	"metal ABC transporter substrate-binding lipoprotein/laminin-binding adhesin Lmb"
"EW021_RS01095"	"g011198"	"pneumococcal-type histidine triad protein"
"EW021_RS01100"	"g003964_1"	"CsbD family protein"
"EW021_RS01105"	"g006390"	"ABC transporter ATP-binding protein"
"EW021_RS01110"	"g012507"	"ABC transporter ATP-binding protein"
"EW021_RS01115"	"g012412"	"ABC transporter permease"
"EW021_RS01120"	"g011620"	"ABC transporter permease"
"EW021_RS01125"	"g010404"	"ABC transporter substrate-binding protein"
"EW021_RS01130"	"g008385"	"hypothetical protein"
"EW021_RS01135"	"g002634"	"streptococcal mitogenic exotoxin SmeZ"
"EW021_RS01140"	"g003066"	"DNA topology modulation protein"
"EW021_RS01145"	"g003278"	"GNAT family N-acetyltransferase"
"EW021_RS01160"	"g004162"	"replication-associated recombination protein A"
"EW021_RS01165"	"g006657"	"aminodeoxychorismate/anthranilate synthase component II"
"EW021_RS01170"	"g000974"	"aminodeoxychorismate synthase component I"
"EW021_RS01175"	"g003185"	"DUF3013 family protein"
"EW021_RS01180"	"g002362"	"50S ribosomal protein L11 methyltransferase"
"EW021_RS01185"	"g001173"	"16S rRNA (uracil(1498)-N(3))-methyltransferase"
"EW021_RS01190"	"g010053"	"PTS glucose transporter subunit IIABC"
"EW021_RS01195"	"g012426"	"endonuclease/exonuclease/phosphatase family protein"
"EW021_RS01200"	"g007061"	"class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI"
"EW021_RS01205"	"g000009_1"	"LPXTG cell wall anchor domain-containing protein"
"EW021_RS01210"	"g010043"	"bifunctional (p)ppGpp synthetase/guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase"
"EW021_RS01215"	"g003267"	"D-tyrosyl-tRNA(Tyr) deacylase"
"EW021_RS01220"	"g001024"	"streptokinase"
"EW021_RS01225"	"g005721"	"PucR family transcriptional regulator"
"EW021_RS01230"	"g000915"	"sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC"
"EW021_RS01235"	"g004723"	"alpha-glucosidase"
"EW021_RS01240"	"g008638"	"hypothetical protein"
"EW021_RS01245"	"g002229"	"pullulanase"
"EW021_RS01250"	"g007668"	"thiol reductase thioredoxin"
"EW021_RS01255"	"g007712"	"preprotein translocase subunit YajC"
"EW021_RS01260"	"g005901"	"isoprenyl transferase"
"EW021_RS01265"	"g012552"	"phosphatidate cytidylyltransferase"
"EW021_RS01270"	"g009402"	"RIP metalloprotease RseP"
"EW021_RS01275"	"g010198"	"proline--tRNA ligase"
"EW021_RS01280"	"g011053"	"PolC-type DNA polymerase III"
"EW021_RS01285"	"g007365"	"MarR family transcriptional regulator"
"EW021_RS01290"	"g006781"	"NAD(P)H-dependent oxidoreductase"
"EW021_RS01295"	"g002815"	"peptide deformylase"
"EW021_RS01300"	"g008359"	"transcriptional regulator"
"EW021_RS01305"	"g009228"	"hypothetical protein"
"EW021_RS01310"	"g000394"	"30S ribosomal protein S15"
"EW021_RS01315"	"g010103"	"BglG family transcription antiterminator"
"EW021_RS01320"	"g008255"	"PTS sugar transporter subunit IIB"
"EW021_RS01325"	"g000871"	"PTS ascorbate transporter subunit IIC"
"EW021_RS01330"	"g001185"	"transaldolase"
"EW021_RS01335"	"g000110"	"polyribonucleotide nucleotidyltransferase"
"EW021_RS01340"	"g012780"	"SseB family protein"
"EW021_RS01345"	"g006579"	"serine O-acetyltransferase"
"EW021_RS01350"	"g000036_1"	"hypothetical protein"
"EW021_RS01355"	"g008637"	"hypothetical protein"
"EW021_RS01360"	"g004893"	"cysteine--tRNA ligase"
"EW021_RS01365"	"g007441"	"Mini-ribonuclease 3"
"EW021_RS01370"	"g012538"	"hypothetical protein"
"EW021_RS01375"	"g012806"	"23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB"
"EW021_RS01380"	"g006907"	"NYN domain-containing protein"
"EW021_RS01385"	"g012223"	"DegV family protein"
"EW021_RS01390"	"g000648"	"hypothetical protein"
"EW021_RS01395"	"g000302"	"helix-turn-helix transcriptional regulator"
"EW021_RS01400"	"g000700"	"50S ribosomal protein L13"
"EW021_RS01405"	"g001558"	"30S ribosomal protein S9"
"EW021_RS01415"	"g003557"	"type II toxin-antitoxin system RelE/ParE family toxin"
"EW021_RS01420"	"g008243"	"DNA-damage-inducible protein J"
"EW021_RS01430"	"g005890_2"	"DeoR/GlpR transcriptional regulator"
"EW021_RS01435"	"g000713_1"	"galactose-6-phosphate isomerase subunit LacA"
"EW021_RS01440"	"g000657_2"	"galactose-6-phosphate isomerase subunit LacB"
"EW021_RS01445"	"g002382"	"tagatose-6-phosphate kinase"
"EW021_RS01450"	"g002337"	"tagatose-bisphosphate aldolase"
"EW021_RS01455"	"g003604"	"PTS lactose/cellobiose transporter subunit IIA"
"EW021_RS01460"	"g004650"	"PTS lactose EIICB component"
"EW021_RS01465"	"g004879"	"6-phospho-beta-galactosidase"
"EW021_RS01470"	"g009227"	"type A2 lantipeptide"
"EW021_RS01475"	"g000988"	"DUF4135 domain-containing protein"
"EW021_RS01480"	"g014524"	"None"
"EW021_RS01485"	"g001181"	"ABC transporter ATP-binding protein"
"EW021_RS01490"	"g002046"	"FtsX-like permease family protein"
"EW021_RS01495"	"g002114"	"ATP-binding protein"
"EW021_RS01500"	"g006479"	"response regulator transcription factor"
"EW021_RS01505"	"g008913"	"hypothetical protein"
"EW021_RS01510"	"g010440"	"type I restriction-modification system subunit M"
"EW021_RS01515"	"g000897"	"restriction endonuclease subunit S"
"EW021_RS01520"	"g011125"	"type I restriction endonuclease subunit R"
"EW021_RS01525"	"g010001"	"glycerate kinase"
"EW021_RS01560"	"g006744"	"sigma-70 family RNA polymerase sigma factor"
"EW021_RS01570"	"g014525"	"None"
"EW021_RS01575"	"g006566"	"YqeG family HAD IIIA-type phosphatase"
"EW021_RS01580"	"g004388"	"ribosome biogenesis GTPase YqeH"
"EW021_RS01585"	"g008101"	"ribosome assembly RNA-binding protein YhbY"
"EW021_RS01590"	"g006356"	"nicotinate-nucleotide adenylyltransferase"
"EW021_RS01595"	"g002860"	"HD domain-containing protein"
"EW021_RS01600"	"g001582"	"ribosome silencing factor"
"EW021_RS01605"	"g005852"	"class I SAM-dependent methyltransferase"
"EW021_RS01610"	"g009900"	"nucleotidyltransferase"
"EW021_RS01615"	"g009260"	"hypothetical protein"
"EW021_RS01620"	"g002614"	"YebC/PmpR family DNA-binding transcriptional regulator"
"EW021_RS01625"	"g012302"	"amino acid ABC transporter substrate-binding protein"
"EW021_RS01630"	"g012289"	"MetQ/NlpA family ABC transporter substrate-binding protein"
"EW021_RS01635"	"g000038"	"methionine ABC transporter ATP-binding protein"
"EW021_RS01640"	"g013067"	"ABC transporter permease"
"EW021_RS01645"	"g010835"	"branched-chain amino acid transport system II carrier protein"
"EW021_RS01650"	"g001897"	"serine/threonine transporter SstT"
"EW021_RS01655"	"g006175"	"TrkA family potassium uptake protein"
"EW021_RS01660"	"g010781"	"TrkH family potassium uptake protein"
"EW021_RS01665"	"g006034"	"16S rRNA (guanine(527)-N(7))-methyltransferase RsmG"
"EW021_RS01670"	"g006704"	"LemA family protein"
"EW021_RS01675"	"g012033"	"zinc metalloprotease HtpX"
"EW021_RS01680"	"g006816"	"DUF177 domain-containing protein"
"EW021_RS01685"	"g002657"	"response regulator transcription factor ArlR"
"EW021_RS01690"	"g010546"	"HAMP domain-containing histidine kinase"
"EW021_RS01695"	"g003099"	"transcriptional repressor NrdR"
"EW021_RS01700"	"g009688"	"replication initiation and membrane attachment protein"
"EW021_RS01705"	"g012001"	"primosomal protein DnaI"
"EW021_RS01710"	"g005022"	"ribosome biogenesis GTPase Der"
"EW021_RS01715"	"g011115"	"DEAD/DEAH box helicase"
"EW021_RS01720"	"g006490"	"hypothetical protein"
"EW021_RS01725"	"g004999"	"UDP-N-acetylmuramate--L-alanine ligase"
"EW021_RS01730"	"g007058"	"GNAT family N-acetyltransferase"
"EW021_RS01735"	"g004742"	"endolytic transglycosylase MltG"
"EW021_RS01740"	"g003130"	"transcription elongation factor GreA"
"EW021_RS01745"	"g011890"	"membrane protein insertase YidC"
"EW021_RS01750"	"g008291"	"acylphosphatase"
"EW021_RS01755"	"g014526"	"None"
"EW021_RS01760"	"g009828"	"ISAs1-like element IS1548 family transposase"
"EW021_RS01765"	"g012862"	"RNA methyltransferase"
"EW021_RS01770"	"g006971"	"HD domain-containing protein"
"EW021_RS01775"	"g013080"	"Bax inhibitor-1/YccA family protein"
"EW021_RS01780"	"g008545"	"YneF family protein"
"EW021_RS01785"	"g012550"	"glutamate racemase"
"EW021_RS01790"	"g011568"	"nucleoside-triphosphate diphosphatase"
"EW021_RS01795"	"g006886"	"metallophosphoesterase"
"EW021_RS01800"	"g007172"	"CBS domain-containing protein"
"EW021_RS01805"	"g012805"	"site-specific tyrosine recombinase XerD"
"EW021_RS01810"	"g013006"	"segregation/condensation protein A"
"EW021_RS01815"	"g006745"	"segregation/condensation protein B"
"EW021_RS01820"	"g012928"	"rRNA pseudouridine synthase"
"EW021_RS01825"	"g000818"	"membrane protein insertion efficiency factor YidD"
"EW021_RS01830"	"g002974"	"tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase TrmL"
"EW021_RS01835"	"g006674"	"ECF transporter S component"
"EW021_RS01840"	"g006263"	"phosphatase PAP2 family protein"
"EW021_RS01845"	"g005416"	"TIGR01212 family radical SAM protein"
"EW021_RS01850"	"g006731"	"methyltransferase domain-containing protein"
"EW021_RS01855"	"g010937"	"HlyC/CorC family transporter"
"EW021_RS01860"	"g001152"	"pyruvate formate lyase 1-activating protein"
"EW021_RS01865"	"g011810"	"manganese-dependent inorganic pyrophosphatase"
"EW021_RS01870"	"g002731"	"DUF1803 domain-containing protein"
"EW021_RS01875"	"g005228"	"iron ABC transporter permease"
"EW021_RS01880"	"g011357"	"iron ABC transporter permease"
"EW021_RS01885"	"g011829"	"iron-hydroxamate ABC transporter substrate-binding protein"
"EW021_RS01890"	"g000537"	"ABC transporter ATP-binding protein"
"EW021_RS01895"	"g010668"	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L- lysine ligase"
"EW021_RS01900"	"g004702"	"polysaccharide biosynthesis protein"
"EW021_RS01905"	"g000592"	"uracil phosphoribosyltransferase"
"EW021_RS01910"	"g001855"	"hypothetical protein"
"EW021_RS01915"	"g001306"	"ATP-dependent Clp endopeptidase proteolytic subunit ClpP"
"EW021_RS01925"	"g008202"	"YlbG family protein"
"EW021_RS01930"	"g006340"	"dTMP kinase"
"EW021_RS01935"	"g012135"	"DNA polymerase III subunit delta'"
"EW021_RS01940"	"g003848"	"hypothetical protein"
"EW021_RS01945"	"g007991"	"DNA replication initiation control protein YabA"
"EW021_RS01950"	"g012204"	"16S rRNA (cytidine(1402)-2'-O)-methyltransferase"
"EW021_RS01955"	"g007548"	"hypothetical protein"
"EW021_RS01960"	"g006375"	"copper homeostasis protein CutC"
"EW021_RS01965"	"g007770"	"arsenate reductase family protein"
"EW021_RS01970"	"g012387"	"exodeoxyribonuclease III"
"EW021_RS01975"	"g009199"	"hypothetical protein"
"EW021_RS01980"	"g009654"	"L-lactate oxidase"
"EW021_RS01985"	"g011044"	"CXC chemokine-degrading serine protease SpyCEP"
"EW021_RS01990"	"g004040"	"hypothetical protein"
"EW021_RS01995"	"g006063"	"DUF1275 domain-containing protein"
"EW021_RS02000"	"g004541"	"methionine--tRNA ligase"
"EW021_RS02005"	"g001080"	"class 1b ribonucleoside-diphosphate reductase subunit beta"
"EW021_RS02010"	"g000345"	"class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI"
"EW021_RS02015"	"g000944"	"class 1b ribonucleoside-diphosphate reductase subunit alpha"
"EW021_RS02020"	"g014527"	"None"
"EW021_RS02025"	"g002565"	"ADP-ribosyltransferase"
"EW021_RS02030"	"g002956"	"hypothetical protein"
"EW021_RS02035"	"g008739"	"hypothetical protein"
"EW021_RS02040"	"g000821"	"hypothetical protein"
"EW021_RS02045"	"g006359"	"hypothetical protein"
"EW021_RS02050"	"g008009"	"hypothetical protein"
"EW021_RS02055"	"g000566_1"	"streptococcal pyrogenic exotoxin SpeJ"
"EW021_RS02060"	"g002706"	"hypothetical protein"
"EW021_RS02065"	"g003863"	"DUF2829 domain-containing protein"
"EW021_RS02070"	"g002640"	"3-oxoacyl-ACP reductase"
"EW021_RS02075"	"g001102"	"Gfo/Idh/MocA family oxidoreductase"
"EW021_RS02080"	"g010922"	"MFS transporter"
"EW021_RS02085"	"g010798"	"bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU"
"EW021_RS02090"	"g006732"	"NUDIX hydrolase"
"EW021_RS02095"	"g001732"	"hypothetical protein"
"EW021_RS02100"	"g013045"	"5'-methylthioadenosine/adenosylhomocysteine nucleosidase"
"EW021_RS02105"	"g000763"	"hypothetical protein"
"EW021_RS02110"	"g002742"	"metal-dependent transcriptional regulator"
"EW021_RS02115"	"g005468"	"metal ABC transporter substrate-binding protein"
"EW021_RS02120"	"g012913"	"metal ABC transporter ATP-binding protein"
"EW021_RS02125"	"g012249"	"metal ABC transporter permease"
"EW021_RS02130"	"g000616_2"	"peptidylprolyl isomerase"
"EW021_RS02135"	"g011215"	"DNA translocase FtsK"
"EW021_RS02140"	"g007798"	"DUF3397 domain-containing protein"
"EW021_RS02145"	"g001513"	"50S ribosomal protein L11"
"EW021_RS02150"	"g001202"	"50S ribosomal protein L1"
"EW021_RS02155"	"g006017"	"UMP kinase"
"EW021_RS02160"	"g002947"	"ribosome recycling factor"
"EW021_RS02165"	"g005693"	"S1 RNA-binding domain-containing protein"
"EW021_RS02170"	"g000651"	"peptide-methionine (S)-S-oxide reductase MsrA"
"EW021_RS02175"	"g008763"	"YozE family protein"
"EW021_RS02180"	"g004290"	"LysM peptidoglycan-binding domain-containing protein"
"EW021_RS02185"	"g002059"	"oleate hydratase"
"EW021_RS02190"	"g005193"	"PhoH family protein"
"EW021_RS02195"	"g006606"	"uracil-DNA glycosylase family protein"
"EW021_RS02200"	"g006984"	"rRNA maturation RNase YbeY"
"EW021_RS02205"	"g007467"	"diacylglycerol kinase"
"EW021_RS02210"	"g005582"	"GTPase Era"
"EW021_RS02215"	"g007100"	"NUDIX domain-containing protein"
"EW021_RS02220"	"g003806"	"hypothetical protein"
"EW021_RS02225"	"g003825"	"bacteriocin"
"EW021_RS02230"	"g009108"	"class IIb bacteriocin%2C lactobin A/cerein 7B family"
"EW021_RS02245"	"g001797"	"class IIb bacteriocin%2C lactobin A/cerein 7B family"
"EW021_RS02255"	"g003989"	"hypothetical protein"
"EW021_RS02260"	"g000940"	"hypothetical protein"
"EW021_RS02265"	"g001489"	"hypothetical protein"
"EW021_RS02270"	"g000811"	"quorum-sensing system protein StcA"
"EW021_RS02275"	"g003836"	"hypothetical protein"
"EW021_RS02280"	"g014528"	"None"
"EW021_RS02285"	"g005673_1"	"Rgg/GadR/MutR family transcriptional regulator"
"EW021_RS02290"	"g005767"	"DNA-formamidopyrimidine glycosylase"
"EW021_RS02295"	"g002861"	"dephospho-CoA kinase"
"EW021_RS02300"	"g001001"	"DUF853 domain-containing protein"
"EW021_RS02305"	"g009633"	"multidrug efflux MFS transporter"
"EW021_RS02310"	"g000416"	"50S ribosomal protein L33"
"EW021_RS02315"	"g008587"	"preprotein translocase subunit SecG"
"EW021_RS02320"	"g011235"	"ribonuclease R"
"EW021_RS02325"	"g003196"	"SsrA-binding protein SmpB"
"EW021_RS02330"	"g012941"	"glutaminyl-peptide cyclotransferase"
"EW021_RS02335"	"g001273"	"pyroglutamyl-peptidase I"
"EW021_RS02340"	"g011866"	"DUF979 domain-containing protein"
"EW021_RS02345"	"g006129"	"DUF969 domain-containing protein"
"EW021_RS02350"	"g011867"	"glycosyltransferase family 2 protein"
"EW021_RS02355"	"g007650"	"lactoylglutathione lyase"
"EW021_RS02360"	"g006179"	"NAD(P)H-dependent oxidoreductase"
"EW021_RS02365"	"g009957"	"aminopeptidase P family protein"
"EW021_RS02370"	"g011500"	"catabolite control protein A"
"EW021_RS02375"	"g011509"	"glycosyltransferase family 4 protein"
"EW021_RS02380"	"g010939"	"glycosyltransferase family 4 protein"
